error,correct
улица Доманая,улица Ломаная
ул-ца ломанная,улица Ломаная
ул.Ломаная,улица Ломаная
спб просп Наставников 9к2 лит. А,"г.Санкт-Петербург, проспект Наставников, дом 9, корпус 2, литера А"
СПб пр-кт Наставниковв 9 корпус2 л А,"г.Санкт-Петербург, проспект Наставников, дом 9, корпус 2, литера А"
питер наб кан грибоедова 176 А,"г.Санкт-Петербург, набережная канала Грибоедова, дом 176, литера А"
санкт петербург набереж кан гибоедова 176А,"г.Санкт-Петербург, набережная канала Грибоедова, дом 176, литера А"
санкт питербург набережная гибоедова 176 л. А,"г.Санкт-Петербург, набережная канала Грибоедова, дом 176, литера А"
петербург 12 линия во 45 А,"г.Санкт-Петербург, 12-я линия В.О., дом 45, литера А"
Петербург 12я линия ВО 45 лит А,"г.Санкт-Петербург, 12-я линия В.О., дом 45, литера А"
С.Петербург 12я л. В.О. д. 45 л. А,"г.Санкт-Петербург, 12-я линия В.О., дом 45, литера А"
"С.Петербург, Пушкин, Артилерийская ул.3 А","г.Санкт-Петербург, город Пушкин, Артиллерийская улица, дом 3, литера А"
"Санкт-петербург, г.Пушкин, Артилерейская 3А","г.Санкт-Петербург, город Пушкин, Артиллерийская улица, дом 3, литера А"
"Санкт-петербург, г.Пушкин артиллерийская 3литА","г.Санкт-Петербург, город Пушкин, Артиллерийская улица, дом 3, литера А"
"Санкт Петербург, молодежное приморское ш 671 лит А","Санкт-Петербург, посёлок Молодёжное, Приморское шоссе, дом 671, литера А"
"Санкт Петербург, молодежное (поселок) приморское шос. 671 (лит А)","Санкт-Петербург, посёлок Молодёжное, Приморское шоссе, дом 671, литера А"
Молодежное (поселок у СПб) приморское шос. 671 (лит А),"Санкт-Петербург, посёлок Молодёжное, Приморское шоссе, дом 671, литера А"
спб мал. Бухаресткая ул 2 лит А,"г.Санкт-Петербург, Малая Бухарестская улица, дом 2, литера А"
Питер мал Бухарестская улицца 2 А,"г.Санкт-Петербург, Малая Бухарестская улица, дом 2, литера А"
Красное село ул Пролетарская д 3 лит Аа1,"город Красное Село, Пролетарская улица, дом 3, литера А-а1"
Кр. село ул Пролетарская дом 3Аа1,"город Красное Село, Пролетарская улица, дом 3, литера А-а1"
Кр. село ул Пролетарская дом 3,"город Красное Село, Пролетарская улица, дом 3, литера А-а1"
ломоносов краснофлотское шосе 16,"город Ломоносов, Краснофлотское шоссе, дом 16, литера В"
г.ломоносов краснофлотское ш. 16 л B,"город Ломоносов, Краснофлотское шоссе, дом 16, литера В"
шушары Пулковское шосс50 к 2,"посёлок Шушары, Пулковское шоссе, дом 50, корпус 2, литера Д"
п.шушары Пулковское шосс50 корпус2 д,"посёлок Шушары, Пулковское шоссе, дом 50, корпус 2, литера Д"
сестрорецк пр красных командиров 24 б,"город Сестрорецк, проспект Красных Командиров, дом 24б"
сестрорецк пркт кр. командиров 24б,"город Сестрорецк, проспект Красных Командиров, дом 24б"
петербург пр большевиков 39 к1ы,"г.Санкт-Петербург, проспект Большевиков, дом 39, корпус 1, литера Ы"
петербург. пр большевиков 39. к1,"г.Санкт-Петербург, проспект Большевиков, дом 39, корпус 1, литера Ы"
петербург. пр большевиков 39. к1,"г.Санкт-Петербург, проспект Большевиков, дом 39, корпус 1, литера Ы"
петербург. пр Большевика тридцать девять. к1,"г.Санкт-Петербург, проспект Большевиков, дом 39, корпус 1, литера Ы"
петербург. пр Большевика тридцать девять. корпус 1 лит ы ,"г.Санкт-Петербург, проспект Большевиков, дом 39, корпус 1, литера Ы"
петербург. пр Большевика тридцать девять. первый корпус лит ы ,"г.Санкт-Петербург, проспект Большевиков, дом 39, корпус 1, литера Ы"
"питер, тринадцатая линия васильевского острова 18","г.Санкт-Петербург, 13-я линия В.О., дом 18"
"Санкт-Петербург, тринадцатая линия вас остр, д18","г.Санкт-Петербург, 13-я линия В.О., дом 18"
"Санкт-Петербург, Краснопутиловская ул, дом 46, к 8, литера Б Ч","г.Санкт-Петербург, Краснопутиловская улица, дом 46, корпус 8, литера БЧ"
"Санкт-Петербург, Краснаспутиловская ул, дом 46, к 8, литера Б Ч","г.Санкт-Петербург, Краснопутиловская улица, дом 46, корпус 8, литера БЧ"
"Профессора Попова ул., 47","г.Санкт-Петербург, улица Профессора Попова, дом 47, литера А"
"Народного Ополчения, д.219","г.Санкт-Петербург, проспект Народного Ополчения, дом 219, литера А"
"Россия, Санкт-Петербург, проспект Народного Ополчения, 41","г.Санкт-Петербург, проспект Народного Ополчения, дом 219, литера А"
"195221, Санкт-Петербург (г.), Металлистов (пр-кт.), д.63, Строение 2","г.Санкт-Петербург, проспект Металлистов, дом 63, корпус 2, литера А"
"Санкт-Петербург (г.), Александра Матросова (ул.), д.8 2","г.Санкт-Петербург, улица Александра Матросова, дом 8, корпус 1, строение 1"
"197373, Санкт-Петербург (г.), Планерная (ул.), д.91, 2, 1","г.Санкт-Петербург, Планерная улица, дом 91, корпус 2, строение 1"
"195197, Санкт-Петербург (г.), Кондратьевский (пр-кт.), д.49, Строение А","г.Санкт-Петербург, Кондратьевский проспект, дом 49, литера А"
"Россия, Санкт-Петербург, Петергоф, Царицынская улица, 1","город Петергоф, Царицынская улица, дом 1, литера А"
"196608, Санкт-Петербург г, Пушкин г, Октябрьский б-р, д.18/40","город Пушкин, Октябрьский бульвар, дом 18"
"194354, Санкт-Петербург (г.), Санкт-Петербург г, Луначарского пр-кт, д.19 2, А","г.Санкт-Петербург, проспект Луначарского, дом 19, корпус 2, литера А"
"194017, Санкт-Петербург (г.), Санкт-Петербург г, Гаврская ул, д.9","г.Санкт-Петербург, Гаврская улица, дом 9, литера А"
"194352, Санкт-Петербург (г.), Художников (пр-кт.), д.39, Строение 2","г.Санкт-Петербург, проспект Художников, дом 39, корпус 2, литера А"
"Испытателей, д.8","г.Санкт-Петербург, проспект Испытателей, дом 8, корпус 1, литера А"
"Металлистов., д.117","г.Санкт-Петербург, проспект Металлистов, дом 117, строение 1"
"Санкт-Петербург Конолахтинский проспект, 19 58","г.Санкт-Петербург, Коннолахтинский проспект, дом 19/58"
"г.Санкт Петербург, Химический пер, 12, 3, Б","г.Санкт-Петербург, Химический переулок, дом 12, корпус 3, литера Б"
"г.Санкт-Петербург, 3я линия первой половины, дом 2 а","г.Санкт-Петербург, 3-я линия 1-й половины, дом 2а"
"Октябрьская наб, дом 92, корпус 2 Е","г.Санкт-Петербург, Октябрьская набережная, дом 92, корпус 2, литера Е"
"Октябрьская набереж, дом 92, корпус 2 литЕ","г.Санкт-Петербург, Октябрьская набережная, дом 92, корпус 2, литера Е"
"г.Санкт-Петербург, пркт Обуховской Обороны, дом 295, литер Щ","г.Санкт-Петербург, проспект Обуховской Обороны, дом 295, литера Щ"
"гор Санкт-Петербург, пр-кт Обуховской Обороны, дом 295, литер Щ","г.Санкт-Петербург, проспект Обуховской Обороны, дом 295, литера Щ"
"поселок Александровская, 5я лин, дом 34, литера А","посёлок Александровская, 5-я линия, дом 34, литера А"
"поселок Александровская, 5я лин, дом 34А","посёлок Александровская, 5-я линия, дом 34, литера А"
"Санкт-Петербург, 2 ая Жерновская, дом 23, литера А","г.Санкт-Петербург, 2-я Жерновская улица, дом 23, литера А"
"Санкт Петербург; 2 ая Жерновская, дом 23, л А","г.Санкт-Петербург, 2-я Жерновская улица, дом 23, литера А"
"г.Санкт-Петербург, Трамвайный п-т, дом 7-2-А","г.Санкт-Петербург, Трамвайный проспект, дом 7, корпус 2, литера А"
"г.Санкт-Петербург, Трамвайный п-т, дом 7 корпус 2-А","г.Санкт-Петербург, Трамвайный проспект, дом 7, корпус 2, литера А"
"Парголово, Выборгское шю, дом 495-а А","посёлок Парголово, Выборгское шоссе, дом 495а, литера А"
"Парголово, Выборгское ш., дом 495-а литер. А","посёлок Парголово, Выборгское шоссе, дом 495а, литера А"
"г.Санкт-Петербург, Боровая улица, дом (35-37), литера Г","г.Санкт-Петербург, Боровая улица, дом 35-37, литера Г"
"г.Санкт-Петербург, Боровая ул., дом (35-37) Г","г.Санкт-Петербург, Боровая улица, дом 35-37, литера Г"
"г. Петергоф, Озерковая   39, корпус 1, литера А","город Петергоф, Озерковая улица, дом 39, корпус 1, литера А"
"г. Петергоф,; Озерковая ул  39, корпус 1, литера А;","город Петергоф, Озерковая улица, дом 39, корпус 1, литера А"
"муниц окр Константиновское, Сергиево, улица Минина, дом 54, литера А","муниципальный округ Константиновское, территория Сергиево, улица Минина, дом 54, литера А"
"муниц окр Константиновское, Сергиево, улица Минина 54 А","муниципальный округ Константиновское, территория Сергиево, улица Минина, дом 54, литера А"
"муниципальный о. Автово, терр Элеваторная площад, дом 28, литера АЛ","муниципальный округ Автово, территория Элеваторная площадка, дом 28, литера АЛ"
"муниципальный о. Автово, территория Элеваторная площад, дом 28, литера АЛ","муниципальный округ Автово, территория Элеваторная площадка, дом 28, литера АЛ"
"Санкт-Петербург, набережная Фонтанки, дом 170, литера Б","г.Санкт-Петербург, набережная реки Фонтанки, дом 170, литера Б"
"Санкт-Петербург, набережная р. Фонтанки, дом 170 - Б","г.Санкт-Петербург, набережная реки Фонтанки, дом 170, литера Б"
"г.Санкт-Петербург, восьмая Советская улица 35-Б","г.Санкт-Петербург, 8-я Советская улица, дом 35, литера Б"
"г.Санкт-Петербург, восьмая ул Советская 35-Б","г.Санкт-Петербург, 8-я Советская улица, дом 35, литера Б"
"посёлок Парголово, Левашово, 12 я аллея, дом 3, литера А","посёлок Парголово, садоводство 'Левашово', 12-я аллея, дом 3, литера А"
"пос. Парголово, Левашово, 12ая ал, дом 3, литера А","посёлок Парголово, садоводство 'Левашово', 12-я аллея, дом 3, литера А"
"пос Усть Ижора, улица Полины Осипенко, дом 2 А","посёлок Усть-Ижора, улица Полины Осипенко, дом 2, литера А"
"пос Усть Ижора, улица П.Осипенко, дом 2 А","посёлок Усть-Ижора, улица Полины Осипенко, дом 2, литера А"
"пос Усть ижора, улица П.Осипенко, дом 2 (лит А)","посёлок Усть-Ижора, улица Полины Осипенко, дом 2, литера А"
"Санкт-Петербург, Б. Сампсониевский проспект, дом 53, литера Г","г.Санкт-Петербург, Большой Сампсониевский проспект, дом 53, литера Г"
"Санкт-Петербург, больш Сампсониевский пркт, дом 53, литГ","г.Санкт-Петербург, Большой Сампсониевский проспект, дом 53, литера Г"
"Санкт-Петербург, больш самсониевский пркт, дом 53, литГ","г.Санкт-Петербург, Большой Сампсониевский проспект, дом 53, литера Г"
"нкт-Петербург, Александровский парк, дом 1-З","г.Санкт-Петербург, Александровский парк, дом 1, литера З"
"Снкт-Петербург, Александровский п., дом 1-З","г.Санкт-Петербург, Александровский парк, дом 1, литера З"
"Снкт-Петербург, Александровский п., дом 1 лит-З","г.Санкт-Петербург, Александровский парк, дом 1, литера З"
"посёлок Петрославянка, Бугровая ули, дом 17, литера А","посёлок Петро-Славянка, Бугровая улица, дом 17, литера А"
"поселок Петро-славянка, Бугровая , 17, литера А","посёлок Петро-Славянка, Бугровая улица, дом 17, литера А"
"Зеленогорск, Связная ул., дом 3,. (литера А)","город Зеленогорск, Связная улица, дом 3, литера А"
"петербург Зеленогорск, Связная ул., дом 3,. (литера А)","город Зеленогорск, Связная улица, дом 3, литера А"
"посёлок Парголово, садоводство песочное, 4-я аллея, дом 10 А","посёлок Парголово, садоводство НИИТ 'Песочное', 4-я аллея, дом 10, литера А"
"пос. Парголово, сад. ниит песочное, 4-я аллея, дом 10 А","посёлок Парголово, садоводство НИИТ 'Песочное', 4-я аллея, дом 10, литера А"
"г.Санкт-Петербург, Дачный пркт, дом 10 7, литера Б","г.Санкт-Петербург, Дачный проспект, дом 10/7, литера Б"
"г.Санкт-Петербург, Дачный дом 10 / 7, литера Б","г.Санкт-Петербург, Дачный проспект, дом 10/7, литера Б"
"Стрельна, улица Нов. Заводы, дом 34-а, литера А","посёлок Стрельна, улица Новые Заводы, дом 34а, литера А"
"Стрельна новые Заводы, дом 34а, литера А","посёлок Стрельна, улица Новые Заводы, дом 34а, литера А"
